44624,93.25,55.844,ac,51,,44.624,,,"51, 44.624","(51, 44.624)","51, 93.25","(51, 93.25)"
42956,93.5,54.23,light,52,,42.956,,,"52, 42.956","(52, 42.956)","52, 93.5","(52, 93.5)"
41090,92.5,55.844,light,53,,41.09,,,"53, 41.09","(53, 41.09)","53, 92.5","(53, 92.5)"
41673,89.25,54.23,ac,54,,41.673,,,"54, 41.673","(54, 41.673)","54, 89.25","(54, 89.25)"
42750,89.5,54.23,ac,55,,42.75,,,"55, 42.75","(55, 42.75)","55, 89.5","(55, 89.5)"
42748,92.25,53.692,light,56,,42.748,,,"56, 42.748","(56, 42.748)","56, 92.25","(56, 92.25)"
42639,89.75,55.844,light,57,,42.639,,,"57, 42.639","(57, 42.639)","57, 89.75","(57, 89.75)"
42975,89.75,55.306,ac,58,,42.975,,,"58, 42.975","(58, 42.975)","58, 89.75","(58, 89.75)"
42728,89,54.23,ac,59,,42.728,,,"59, 42.728","(59, 42.728)","59, 89","(59, 89)"
41825,82.5,53.154,light,60,,41.825,,,"60, 41.825","(60, 41.825)","60, 82.5","(60, 82.5)"
41767,81,55.306,ac,61,,41.767,,,"61, 41.767","(61, 41.767)","61, 81","(61, 81)"
42160,81.75,54.768,light,62,,42.16,,,"62, 42.16","(62, 42.16)","62, 81.75","(62, 81.75)"
41679,81.25,54.23,ac,63,,41.679,,,"63, 41.679","(63, 41.679)","63, 81.25","(63, 81.25)"
43372,87.25,54.768,light,64,,43.372,,,"64, 43.372","(64, 43.372)","64, 87.25","(64, 87.25)"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,84.46,51.58304,,,,45.1199,,,,,,
